Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
1627.5,998.086
1628.5,409.856
1629.5,349.133
1630.5,432.224
1631.5,1083.42
1632.5,1251.67
1633.5,1251.67
1634.5,1251.67
1635.5,1240.39
1636.5,1251.67
1637.5,1251.67
1638.5,1250.2
1639.5,1251.67
1640.5,1251.67
1641.5,1251.67
1642.5,1251.67
1643.5,1251.67
1644.5,1251.67
1645.5,1251.67
1646.5,1228.37
1647.5,1221.35
1648.5,1207.43
1649.5,1170.13
1650.5,1071.25
1651.5,663.323
1652.5,863.564
1653.5,432.973
1654.5,1005.91
1655.5,456.116
1656.5,650.201
1657.5,526.017
1658.5,366.029
